Nama Pekerjaan,Link SPK,Status,Kategori Project,Progress Upload Teknis,Nilai Kontrak,Task Project,Status Selesai - Automated Test,Tanggal SPK Berakhir,Status Project,Link BAST,Keterangan Tender,Referensi,Url Folder Project,Tanggal Mulai SPK,BAST,Tim Eksternal,PIC,Satuan Kerja,Admin,Deadline Penulisan Ustek,Status Selesai Substansi,PIC Ustek,Pemberi Kerja,Link Referensi,Mekanisme Penunjukan,Status Penulisan Ustek,Tim Internal Project,Sisa Hari Pekerjaan,URL Ustek,Tahapan,Manajemen Penagihan,SPK,Jumlah Hari Berjalan,Peringkat,Urgensi Deadline,Deadline/Pengumuman,Last Update,Tim Penulis Ustek,Lokasi,PIC Project
Pendampingan Implementasi Industri 4.0 Sektor ISKPBGN,,optNEdbwBI,opt0Ikmm7g,,134993760,,,,,,"Tidak lulus, tidak memiliki pengalaman dibidang 4.0",,,,,,,Direktorat Jenderal Industri Kimia Farmasi dan Tekstil,,,,,Kementerian Perindustrian,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-06-18 00:00:00,1784881328,,optcnBp9rk,
Penguatan Tata Kelola Data Kementerian Investasi Dan Hilirisasi/Badan Koordinasi Penanaman Modal Berbasis E-Government TA. 2026,,optNEdbwBI,opt0Ikmm7g,,489376800,,,,,,"Nilai memenuhi ambang batas, namun tidak masuk ke dalam daftar pendek",,,,,,,DEPUTI BIDANG TEKNOLOGI INFORMASI PENANAMAN MODAL,,,,recvajTXiw5De8,Kementerian Investasi dan Hilirisasi/BKPM,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,2026-07-08 00:00:00,1784881328,,optcnBp9rk,
Pengadaan Jasa Konsultasi Tata Kelola dan Akselerasi Implementasi Transformasi Digital KPK Tahun 2026,,optNEdbwBI,opt0Ikmm7g,,831695250,,,,,,Dibawah nilai ambang batas,,,,,,,Komisi Pemberantasan Korupsi,,,,,Komisi Pemberantasan Korupsi,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-05-21 00:00:00,1784881328,,optcnBp9rk,
Pendampingan Pembentukan/Penguatan Organisasi Tata Kelola Layanan Pengumpulan Sampah Secara Terpilah Tingkat Kelurahan/Desa di Kota Cilegon,,optNEdbwBI,opt0Ikmm7g,,9000763267,,,,,,Harga tertinggi,,,,,,,694010/BALAI PENATAAN BANGUNAN PRASARANA DAN KAWASAN BANTEN,,,,recvmSihvvFfgX,Kementerian Pekerjaan Umum,,optH2rZrfo,optJXoIXNF,,,,optUScYWtB,,,,,,2026-06-18 00:00:00,1784881328,,optcnBp9rk,
Jasa Konsultansi Pelaksana SKM Pemerintah Kota Surakarta,,optNEdbwBI,opt0Ikmm7g,,199855500,,,,,,Urutan ke 3,,,,,,,BAGIAN ORGANISASI,,,,recvajTXiw6gFo,Kota Surakarta,,optH2rZrfo,optJXoIXNF,,,,optUScYWtB,,,,Juara 3,,2026-07-01 00:00:00,1784881328,recvmSiRsxf2ki,optcnBp9rk,
Belanja Jasa Konsultansi Survei Standar Harga Pemerintah Provinsi Jawa Timur,,optTq0MDaF,opt0Ikmm7g,,249281691,,,,,,NILAI UNSUR PENGALAMAN pekerjaan sejenis dalam 3 tahun dan 10 tahun terakhir dibawah ambang batas,,,,,,,BIRO ADMINISTRASI PEMBANGUNAN,,,,,Provinsi Jawa Timur,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,2026-08-13 00:00:00,1788244040,,optcnBp9rk,
Jasa Konsultan Riset Brand Equity dan Efektivitas Media Sosial Bank Kalsel,,optNEdbwBI,opt0Ikmm7g,,490000000,,,,,,,,,,,,,DIVISI PERENCANAAN & KINERJA,,,,recvajTXiw5De8,PT. BPD Kalsel,,optH2rZrfo,optJXoIXNF,,,,optUScYWtB,,,,,,2026-04-28 00:00:00,1784881328,,optcnBp9rk,
Konsultan Penyusunan Dokumen Analisis Dampak Lalu Lintas (Andalalin) Revitalisasi Pasar Banjarsari dan Penataan Lingkungan Pasar Banjarsari ,,optNEdbwBI,opt0Ikmm7g,,221223000,,,,,,Tender dibatalkan,,,,,,,"Dinas Koperasi, Usaha Kecil Menengah, Perdagangan dan Perindustrian",,,,,Kab. Ciamis,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-01-26 00:00:00,1784881328,,optcnBp9rk,
KAJIAN KEBUTUHAN RIIL AIR MINUM BERBASIS SURVEI DI KOTA CIREBON,,optNEdbwBI,opt0Ikmm7g,,220154000,,,,,,"Tidak memiliki pekerjaan yang sejenis berdasarkan jenis pekerjaan, kompleksitas pekerjaan, metodologi, teknologi, atau karakteristik lainnya yang bisa menggambarkan kesamaan, paling kurang 1 pekerjaan dalam kurun waktu 3 (tiga) tahun terakhir baik di lingkungan pemerintah maupun swasta, termasuk pengalaman subkontrak; dan nilai pekerjaan sejenis tertinggi dalam kurun waktu 10 (sepuluh) tahun terakhir paling kurang sama dengan 50% (lima puluh persen) nilai total HPS/Pagu Anggaran.",,,,,,,"BADAN PERENCANAAN PEMBANGUNAN, PENELITIAN DAN PENGEMBANGAN DAERAH",,,,,"Prov. Jawa Barat 
(Kota Cirebon)",,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-04-14 00:00:00,1784881328,,optcnBp9rk,
Pengembangan Data Warehouse Infrastruktur Pekerjaan Umum dan Penataan Ruang Provinsi Banten,,optNEdbwBI,opt0Ikmm7g,,300000000,,,,,,Tidak Memenuhi Nilai Ambang Batas,,,,,,,Dinas Pekerjaan Umum dan Penataan Ruang,,,,,Provinsi Banten,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-05-20 00:00:00,1784881328,,optcnBp9rk,
PENGADAAN JASA KONSULTASI KAJIAN PENYUSUNAN PETA JALAN DAN KEBIJAKAN TEKNIS PENYELENGGARAAN PELAYANAN UNIVERSAL TELEKOMUNIKASI YANG BERKELANJUTAN (DITAKSEL),,optNEdbwBI,opt0Ikmm7g,,553446000,,,,,,Tidak memenuhi ambang batas 60,,,,,,,Direktorat Jenderal Infrastruktur Digital,,,,,Kementerian Komunikasi dan Digital,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-06-12 00:00:00,1784881328,,optcnBp9rk,
Pengadaan Jasa Konsultansi Penyusunan Naskah Akademik Raperda tentang Pemberdayaan dan Perlindungan Usaha Kecil,,optNEdbwBI,opt0Ikmm7g,,224635000,,,,,, tidak hadir pembuktian,,,,,,,SEKRETARIAT DPRD,,,,,Provinsi DI Yogyakarta,,optH2rZrfo,optNtkntdg,,,,optIauj19z,,,,,,2026-07-23 00:00:00,1785312928,,optcnBp9rk,
Kajian Penyusunan Rencana Umum Penanaman Modal Provinsi (RUPMP) Banten,,optNEdbwBI,opt0Ikmm7g,,200000000,,,,,,,,,,,,,Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu,,,,recvajTXiwF9KO,Provinsi Banten,,optH2rZrfo,,,,,optUScYWtB,,,,,,2026-07-17 00:00:00,1784881328,,optcnBp9rk,
Jasa Konsultansi Penyusunan Pedoman Implementasi Pendanaan dan Pembiayaan Inovatif : Filantropi dan Tematik Berkelanjutan,,optv1IItaE,opt0Ikmm7g,,1444219890,,,,,,Pembuktian 3-6 Agustus,,,,,,,KANTOR MENTERI NEGARA PPN BAPPENAS,,,,,Kementerian Perencanaan Pembangunan Nasional,,optH2rZrfo,optJXoIXNF,,,,optUScYWtB,,,,Tidak Potensial,,2026-09-14 00:00:00,1788917018,,optcnBp9rk,
Review Rencana Induk Sistem Pengelolaan Air Limbah Domestik,,optTq0MDaF,opt0Ikmm7g,,293965000,,,,,,Dengan alasan Tidak masuk shortlist (7 Terbaik),,,,,,,"DINAS PERUMAHAN, PERMUKIMAN DAN PERTANAHAN",,,,,Kota Tangerang,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,Medium Potential,,2026-08-04 00:00:00,1786628970,,optcnBp9rk,
,,,,,,,,,,,,,,,,,,,,,,,,,,optNtkntdg,,,,,,,,,,,1788787271,,,
III.1.21 Konsultansi Review Perhitungan Daya Tampung Beban Pencemaran Sungai,,optNEdbwBI,opt0Ikmm7g,,262120000,,,,,,Tidak lulus nilai pengalaman perusahaan,,,,,,,Dinas Lingkungan Hidup dan Kebersihan,,,,,Kab. Tangerang,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-03-09 00:00:00,1784881328,,optcnBp9rk,
Belanja Jasa Konsultasi Pengelolaan Media Sosial,,optNEdbwBI,opt0Ikmm7g,,600000000,,,,,,Tidak mempunyai pekerjaan yang serupa (similar) paling kurang 1 (satu) pekerjaan dalam kurun waktu 3 (tiga) tahun,,,,,,,Badan Pendapatan Daerah,,,,,Provinsi Banten,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-05-12 00:00:00,1784881328,,optcnBp9rk,
Kajian-2 Persiapan Implementasi Teknologi Non-Terrestrial Network Direct to Device berbasis Satelit Dit. Prestasi ,,optNEdbwBI,opt0Ikmm7g,,1691706600,,,,,,Jumlah peserta yang lulus prakualifikasi kurang dari 3 peserta,,,,,,,Direktorat Jenderal Infrastruktur Digital,,,,,Kementerian Komunikasi dan Digital,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-04-21 00:00:00,1784881328,,optcnBp9rk,
Pengadaan Jasa Konsultansi Penyusunan Final Feasibility Study (FS) Pengembangan Layanan Unggulan (RS PPU),,opty2DWWuN,opt0Ikmm7g,,361455300,,,,,,Jumlah peserta kurang dari 3 peserta,,,,,,,Rumah Sakit Umum Pusat Prof Dr IGNG Ngoerah,,,,,Kementerian Kesehatan,,optH2rZrfo,,,,,optIauj19z,,,,,,2026-09-06 00:00:00,1784881328,,optcnBp9rk,
"Paket Pekerjaan Pengadaan Jasa Konsultansi Survei Kepuasan Pelayanan, dan Efektivitas Penyuluhan dan Kehumasan DJP",,optNEdbwBI,opt0Ikmm7g,,585247500,,,,,,Tidak masuk shortlist,,,,,,,KANTOR PUSAT DIREKTORAT JENDERAL PAJAK,,,,,Kementerian Keuangan,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-06-29 00:00:00,1784881328,,optcnBp9rk,
Belanja Jasa Konsultansi Inventarisasi Gas Rumah Kaca,,optv1IItaE,opt0Ikmm7g,,199420069.2,,,,,,Pembuktian 15 September,,,,,,,Dinas Lingkungan Hidup,,,,,Kab. Bekasi,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,2026-09-08 00:00:00,1788836184,,optcnBp9rk,
Jasa Konsultansi Reviu Rencana Induk Perkeretaapian di Jawa Barat,,optNEdbwBI,opt0Ikmm7g,,499508325,,,,,,tidak memiliki Sertifikat Badan Usaha (SBU) Kualifikasi Usaha Kecil Bidang Transportasi Sub Bidang kode 1.02.02,,,,,,,Dinas Perhubungan,,,,,Provinsi Jawa Barat,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-05-20 00:00:00,1784881328,,optcnBp9rk,
"Sosialisai, Verifikasi dan Pengawasan Pembagian Paket Konversi BBM ke BBG untuk Petani Sasaran Wilayah 2",,optNEdbwBI,opt0Ikmm7g,,4940779000,,,,,,"SUCOFINDO, urutan 5",,,,,,,DIREKTORAT JENDERAL MINYAK DAN GAS BUMI,,,,,Kementerian Energi Dan Sumber Daya Mineral,,optH2rZrfo,optNtkntdg,,,,optUScYWtB,,,,Medium Potential,,2026-09-04 00:00:00,1788501761,,optcnBp9rk,
Belanja Jasa Konsultansi Perencanaan Penataan Ruang-Jasa Perencanaan Wilayah (Penyusunan Dokumen Kajian RISPKP),,optNEdbwBI,opt0Ikmm7g,,199.984,,,,,,,,,,,,,Dinas Pemadam Kebakaran Dan Penyelamatan,,,,,Kab. Banjar,,optH2rZrfo,,,,,optIauj19z,,,,,,2026-07-05 00:00:00,1784881328,,optcnBp9rk,
Penghitungan Angka Inflasi Kabupaten Tuban Tahun 2026,,optNEdbwBI,opt0Ikmm7g,,249594600,,,,,,Tidak hadir pembuktian (Berbarengan dengan pembuktian Surakarta),,,,,,,SEKRETARIAT DAERAH,,,,,Kab. Tuban,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-06-15 00:00:00,1784881328,,optcnBp9rk,
Pengadaan Penguatan Manajemen Layanan Pemerintah Digital Kementerian Investasi dan Hilirisasi/BKPM,,optNEdbwBI,opt0Ikmm7g,,1029308550,,,,,,tidak masuk ke dalam daftar pendek,,,,,,,DEPUTI BIDANG TEKNOLOGI INFORMASI PENANAMAN MODAL,,,,recvajTXiw5De8,Kementerian Investasi dan Hilirisasi/BKPM,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,2026-07-02 00:00:00,1784881328,,optcnBp9rk,
,,opty2DWWuN,opt0Ikmm7g,,,,,,,,,,,,,,,,,,,,,,,optNtkntdg,,,,,,,,,,,1784881328,,,
Pendampingan Implementasi Industri 4.0 Sektor Industri Kimia Hilir dan Farmasi,,optNEdbwBI,opt0Ikmm7g,,164948220,,,,,,Tender Batal,,,,,,,Direktorat Jenderal Industri Kimia Farmasi dan Tekstil,,,,,Kementerian Perindustrian,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-04-28 00:00:00,1784881328,,optcnBp9rk,
Belanja Jasa Konsultansi Berorientasi Layanan-Jasa Studi Penelitian dan Bantuan Teknik (RUPM),,optJGac5R3,opt0Ikmm7g,,69785700,recvuwIg7F2zIx,,,,,,,,,,,,DPMPTSP,,,optbF5FFtB,,Kabupaten Bogor,,optvqUXNkj,optNtkntdg,,,,optUScYWtB,recvuwIgfw25mI,,,,,,1788848967,,optcnBp9rk,
III.1.16 Konsultansi Penyusunan Dokumen RPPMA,,optNEdbwBI,opt0Ikmm7g,,196590000,,,,,,Pembuktian 3 Agustus,,,,,,,Dinas Lingkungan Hidup dan Kebersihan,,,,,Kab. Tangerang,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,High Potential,,2026-08-03 00:00:00,1785840319,,optcnBp9rk,
Evaluasi dan Penyusunan Peta Proses Bisnis Kemendagri,,optNEdbwBI,opt0Ikmm7g,,181929000,,,,,,Tidak lulus hasil evaluasi unsur pengalaman perusahaan,,,,,,,SEKRETARIAT JENDERAL,,,,,Kementerian Dalam Negeri,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,2026-07-02 00:00:00,1784881328,,optcnBp9rk,
PENYUSUNAN POHON KINERJA POLRI TAHUN 2025-2029,,optv1IItaE,opt0Ikmm7g,,256450000,,,,,,"Tidak dilanjut, Levner",,,,,,,STAMARENA POLRI,,,,,Kepolisian Negara Republik Indonesia,,optH2rZrfo,optNtkntdg,,,,optl696BMz,,,,,,2026-09-09 00:00:00,1788863766,,optcnBp9rk,
Belanja Jasa Tenaga Ahli Sub Kegiatan Penyusunan Rencana Penanggulangan Kedaruratan Bencana,,optTq0MDaF,opt0Ikmm7g,,167710500,,,,,,,,,,,,,BADAN PENANGGULANGAN BENCANA DAERAH,,,,,Kota Tangerang Selatan,,optH2rZrfo,optNtkntdg,,,,optIauj19z,,,,,,,1787292871,,optcnBp9rk,
Jasa Konsultan Pendamping Penyelenggaraan Subsidi Operasional Layanan pos Universal Tahun 2026,,optNEdbwBI,opt0Ikmm7g,,1099825400,,,,,,Tidak memiliki pengalaman pekerjaan serupa (similar) adalah Pekerjaan Konsultansi pada bidang akuntansi keuangan atau internal audit.,,,,,,,Direktorat Jenderal Ekosistem Digital,,,,,Kementerian Komunikasi dan Digital,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-01-26 00:00:00,1784881328,,optcnBp9rk,
Jasa Konsultansi Survei Quality Of Experience (QoE) Penyiaran Televisi Digital Terestrial,,optNEdbwBI,opt0Ikmm7g,,1460051820,,,,,,,,,,,,,Direktorat Jenderal Ekosistem Digital,,,,recvajTXiw5De8,Kementerian Komunikasi dan Digital,,optH2rZrfo,,,,,optUScYWtB,,,,,,2026-07-23 00:00:00,1784881328,,optcnBp9rk,
JASA KONSULTANSI DUKUNGAN PEMBENTUKAN KERANGKA SISTEM DAN EKOSISTEM PEMELIHARAAN INFRASTRUKTUR SEKOLAH RAKYAT PERMANEN,,optv1IItaE,opt0Ikmm7g,,1500000000,,,,,,,,,,,,,KANTOR MENTERI NEGARA PPN BAPPENAS,,,,,Kementerian Perencanaan Pembangunan Nasional,,optH2rZrfo,optNtkntdg,,,,optl696BMz,,,,,,2026-09-15 00:00:00,1788514496,,optcnBp9rk,
,,,,,,,,,,,,,,,,,,,,,,,,,,optNtkntdg,,,,,,,,,,,1788502168,,,
Belanja Jasa Konsultasi Berorientasi Layanan-Jasa Konsultasi Manajemen,,opty2DWWuN,opt0Ikmm7g,,716366250,,,,,,Tindak lanjut Prakualifikasi ulang jumlah peserta yang lulus 1,,,,,,,Dinas Sosial,,,,,Kab. Musi Banyuasin,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-07-06 00:00:00,1784881328,,optcnBp9rk,
"Belanja Langganan Daya dan Jasa : Belanja Penyediaan Barang dan Jasa BLU Lainnya - Jasa Konsultan Penyusunan DED/Blueprint SIMRS Terintegrasi dan Implementasi Sistem Smart Hospital,Pengembangan dan Implementasi Enterprice Resource Planning (ERP) Smart Hospital pada RS Jantung dan Pembuluh Darah Harapan Kita",,optTq0MDaF,opt0Ikmm7g,,5599999999,,,,,,Dengan alasan Tidak mempunyai pengalaman sejenis (Jasa Konsultansi pengadaan pengadaan DED IT / IT Masterplan/Konsultan Pengembangan IT),,,,,,,RUMAH SAKIT JANTUNG HARAPAN KITA JAKARTA,,,,,Kementerian Kesehatan,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,2026-07-14 00:00:00,1784881328,,optcnBp9rk,
Penyusunan Investment Project Ready To Offer (IPRO) Pengembangan Kawasan Peruntukan Industri Kabupaten Kulon Progo,,optv1IItaE,opt0Ikmm7g,,171812000,,,,,,,,,,,,,DEPUTI BIDANG PERENCANAAN PENANAMAN MODAL,,,,,Kementerian Investasi dan Hilirisasi/BKPM,,optH2rZrfo,optNtkntdg,,,,optUScYWtB,,,,,,2026-09-06 00:00:00,1788836294,,optcnBp9rk,
